Timestamp,Date,Funding Rate,APY (annualized)
1734400800131,2024-12-17T02:00:00.131Z,8.070570e-5,53.02
1734404400052,2024-12-17T03:00:00.052Z,1.885699e-4,123.89
1734408000112,2024-12-17T04:00:00.112Z,2.364379e-4,155.34
1734411600073,2024-12-17T05:00:00.073Z,1.788003e-4,117.47
1734415200042,2024-12-17T06:00:00.042Z,1.250000e-5,8.21
1734418800001,2024-12-17T07:00:00.001Z,1.250000e-5,8.21
1734422400199,2024-12-17T08:00:00.199Z,1.006254e-4,66.11
1734426000041,2024-12-17T09:00:00.041Z,6.562220e-5,43.11
1734429600030,2024-12-17T10:00:00.030Z,2.284912e-4,150.12
1734433200059,2024-12-17T11:00:00.059Z,1.726753e-4,113.45
1734436800135,2024-12-17T12:00:00.135Z,1.104500e-4,72.57
1734440400089,2024-12-17T13:00:00.089Z,2.165026e-4,142.24
1734444000008,2024-12-17T14:00:00.008Z,3.372428e-4,221.57
1734447600051,2024-12-17T15:00:00.051Z,1.099393e-4,72.23
1734451200107,2024-12-17T16:00:00.107Z,1.499510e-4,98.52
1734454800005,2024-12-17T17:00:00.005Z,1.363261e-4,89.57
1734458400001,2024-12-17T18:00:00.001Z,2.145367e-4,140.95
1734462000091,2024-12-17T19:00:00.091Z,2.445343e-4,160.66
1734465600152,2024-12-17T20:00:00.152Z,5.165013e-4,339.34
1734469200014,2024-12-17T21:00:00.014Z,4.554723e-4,299.25
1734472800139,2024-12-17T22:00:00.139Z,3.354937e-4,220.42
1734476400030,2024-12-17T23:00:00.030Z,3.615070e-4,237.51
1734480000134,2024-12-18T00:00:00.134Z,1.250000e-5,8.21
1734483600017,2024-12-18T01:00:00.017Z,1.052714e-4,69.16
1734487200075,2024-12-18T02:00:00.075Z,1.842817e-4,121.07
1734490800024,2024-12-18T03:00:00.024Z,7.359810e-5,48.35
1734494400008,2024-12-18T04:00:00.008Z,1.808916e-4,118.85
1734498000033,2024-12-18T05:00:00.033Z,2.109663e-4,138.60
1734501600010,2024-12-18T06:00:00.010Z,9.756110e-5,64.10
1734505200190,2024-12-18T07:00:00.190Z,1.574726e-4,103.46
1734508800172,2024-12-18T08:00:00.172Z,1.292672e-4,84.93
1734512400153,2024-12-18T09:00:00.153Z,1.608867e-4,105.70
1734516000036,2024-12-18T10:00:00.036Z,7.784440e-5,51.14
1734519600017,2024-12-18T11:00:00.017Z,7.433960e-5,48.84
1734523200021,2024-12-18T12:00:00.021Z,2.707560e-5,17.79
1734526800186,2024-12-18T13:00:00.186Z,1.405280e-4,92.33
1734530400040,2024-12-18T14:00:00.040Z,1.970794e-4,129.48
1734534000062,2024-12-18T15:00:00.062Z,3.304372e-4,217.10
1734537600165,2024-12-18T16:00:00.165Z,1.673095e-4,109.92
1734541200133,2024-12-18T17:00:00.133Z,1.963661e-4,129.01
1734544800004,2024-12-18T18:00:00.004Z,2.481033e-4,163.00
1734548400131,2024-12-18T19:00:00.131Z,2.219937e-4,145.85
1734552000058,2024-12-18T20:00:00.058Z,2.137901e-4,140.46
1734555600061,2024-12-18T21:00:00.061Z,3.325900e-4,218.51
1734559200151,2024-12-18T22:00:00.151Z,1.319913e-4,86.72
1734562800109,2024-12-18T23:00:00.109Z,2.853508e-4,187.48
1734566400138,2024-12-19T00:00:00.138Z,2.827777e-4,185.78
1734570000134,2024-12-19T01:00:00.134Z,1.270864e-4,83.50
1734573600015,2024-12-19T02:00:00.015Z,3.877320e-5,25.47
1734577200026,2024-12-19T03:00:00.026Z,1.586166e-4,104.21
1734580800134,2024-12-19T04:00:00.134Z,1.447497e-4,95.10
1734584400007,2024-12-19T05:00:00.007Z,1.222094e-4,80.29
1734588000108,2024-12-19T06:00:00.108Z,1.650772e-4,108.46
1734591600189,2024-12-19T07:00:00.189Z,9.973430e-5,65.53
1734595200086,2024-12-19T08:00:00.086Z,7.246250e-5,47.61
1734598800006,2024-12-19T09:00:00.006Z,1.250000e-5,8.21
1734602400020,2024-12-19T10:00:00.020Z,1.903960e-5,12.51
1734606000065,2024-12-19T11:00:00.065Z,1.932875e-4,126.99
1734609600143,2024-12-19T12:00:00.143Z,1.908550e-5,12.54
1734613200023,2024-12-19T13:00:00.023Z,2.792850e-5,18.35
1734616800137,2024-12-19T14:00:00.137Z,3.896970e-5,25.60
1734620400141,2024-12-19T15:00:00.141Z,2.817730e-5,18.51
1734624000033,2024-12-19T16:00:00.033Z,4.519930e-5,29.70
1734627600004,2024-12-19T17:00:00.004Z,5.412990e-5,35.56
1734631200081,2024-12-19T18:00:00.081Z,6.248820e-5,41.05
1734634800069,2024-12-19T19:00:00.069Z,2.815557e-4,184.98
1734638400105,2024-12-19T20:00:00.105Z,3.164974e-4,207.94
1734642000149,2024-12-19T21:00:00.149Z,3.008865e-4,197.68
1734645600062,2024-12-19T22:00:00.062Z,2.203723e-4,144.78
1734649200062,2024-12-19T23:00:00.062Z,2.258662e-4,148.39
1734652800089,2024-12-20T00:00:00.089Z,5.689550e-5,37.38
1734656400028,2024-12-20T01:00:00.028Z,1.567311e-4,102.97
1734660000068,2024-12-20T02:00:00.068Z,4.941970e-5,32.47
1734663600023,2024-12-20T03:00:00.023Z,1.250000e-5,8.21
1734667200007,2024-12-20T04:00:00.007Z,1.373000e-5,9.02
1734670800148,2024-12-20T05:00:00.148Z,1.664590e-5,10.94
1734674400043,2024-12-20T06:00:00.043Z,9.817160e-5,64.50
1734678000058,2024-12-20T07:00:00.058Z,1.053320e-4,69.20
1734681600050,2024-12-20T08:00:00.050Z,7.875500e-5,51.74
1734685200041,2024-12-20T09:00:00.041Z,8.013810e-5,52.65
1734688800015,2024-12-20T10:00:00.015Z,1.198876e-4,78.77
1734692400165,2024-12-20T11:00:00.165Z,1.603417e-4,105.34
1734696000134,2024-12-20T12:00:00.134Z,1.884311e-4,123.80
1734699600054,2024-12-20T13:00:00.054Z,8.815460e-5,57.92
1734703200157,2024-12-20T14:00:00.157Z,1.250000e-5,8.21
1734706800372,2024-12-20T15:00:00.372Z,1.093830e-5,7.19
